"Location_ID","Location_Name","Location_Setting_Description","Location_Description","Ecology_Facility_Site_ID","Is_Location_a_Well","Address","City","State","Zip_Code","County","Watershed_WRIA","Ecology_Region","US_Congressional_District","State_Legislative_District","NHD_Reach_Code","NHD_Reach_Measure","NHD_Edit_Date","Calculated_Latitude_Decimal_Degrees_NAD83HARN","Calculated_Longitude_Decimal_Degrees_NAD83HARN","Horizontal_Coordinates_Represent","Horizontal_Coordinate_Accuracy","Horizontal_Coordinate_Collection_Method","Paper_Map_Scale","Township_Number","Township_Direction","Range_Number","Range_Direction","Section_Number","Quarter_Section_Township_Range","Quarter_Quarter_Section_Township_Range","Elevation_of","Elevation","Elevation_Units","Elevation_Datum","Elevation_Accuracy","Elevation_Collecton_Method","Sediment_Elevation_Elevation_Reference","Location_Suspect_or_Rejected_Flag","Location_Suspect_Code","Location_Suspect_Description","Location_ID_Alias","Associated_Study_ID","Record_Created_On","Location_System_ID"
"37A090","YAKIMA RIVER AT KIONA","Channeled, flowing water","LOCATED .1 MILE NORTH OF HIGHWAY 12/82 AT KIONA AND SOUTHEAST OF BENTON CITY",,"N","","","WA","","Benton","Lower Yakima","Central Regional Office",4,16,"17030003000102",59.36666,7/20/2012 12:00:00 AM,46.253467,-119.478078,"Unknown","+/- 40 ft (12 m)","Paper map interpolation","1:25,000",9,"N",27,"E",19,"NE","","",,"","","","","","","","","","AJOH0007, AJOH0029, AMS001, AMS001, AMS001-2, AMS001-2, AMS001B, AMS001C, AMS001D, AMS001D, AMS001E, AMS001E, AMS005, CCOF0001, PPIC0010",1/1/1753 12:00:00 AM,5184640
"49B070","SIMILKAMEEN RIVER AT OROVILLE","Channeled, flowing water","LOCATED .2 MILES WEST OF HIGHWAY 97 AT THE BRIDGE ON 12TH AVENUE (WANNACUT LAKE ROAD) IN OROVILLE",,"N","","","WA","","Okanogan","Okanogan","Central Regional Office",4,7,"17020007003912",2.5410374437,7/19/2012 12:00:00 AM,48.9347930009341,-119.44204,"stream center","+/- 40 ft (12 m)","Computer map - GIS-based","1:25,000",40,"N",27,"E",28,"SW","NE","",,"","","","","","","","","","AJOH0016, AMS001, AMS001, AMS001-2, AMS001-2, AMS001B, AMS001C, AMS001D, AMS001D, AMS001E, AMS001E, AMS004, AMS005, FLOW9798, FLOW9899, FMUFLOW&WQ",1/1/1753 12:00:00 AM,1431740
"57A150","SPOKANE RIVER AT STATELINE BRIDGE","Channeled, flowing water","LOCATED AT THE BRIDGE ON STATELINE VILLAGE ROAD, .1 MILE WEST OF THE WASHINGTON- IDAHO BORDER, 0.1 MILE NORTH OF I-90.",,"N","","","WA","","Spokane","Middle Spokane","Eastern Regional Office",5,4,"17010305000012",36.856908414,7/19/2012 12:00:00 AM,47.698511187661,-117.044644014284,"Unknown","+/- 40 ft (12 m)","Paper map interpolation","1:25,000",25,"N",46,"E",6,"NW","NE","",,"","","","","","","","","","AJOH0022, AJOH0029, AMS001, AMS001, AMS001-2, AMS001-2, AMS001B, AMS001D, AMS001D, AMS001E, AMS001E, AMS004, AMS005, BCUS0005, tist0003",1/1/1753 12:00:00 AM,222740
"34A070","PALOUSE RIVER AT HOOPER","Channeled, flowing water","LOCATED IN DOWNTOWN HOOPER NEAR TRAIN TRACKS AT BRIDGE ON OLD HIGHWAY 26",,"N","","","WA","","Adams","Palouse","Eastern Regional Office",4,9,"17060108000023",19.116211078,2/16/2012 12:00:00 AM,46.7590380142962,-118.14801556027,"Unknown","+/- 40 ft (12 m)","Paper map interpolation","1:25,000",15,"N",37,"E",26,"SW","NW","",,"","","","","","","","","","AJOH0028, AMS001, AMS001, AMS001-2, AMS001-2, AMS001B, AMS001C, AMS001D, AMS001D, AMS001E, AMS001E, AMS004, AMS005, G0700167, JICA0001",1/1/1753 12:00:00 AM,8483640
"54A120","SPOKANE RIVER AT RIVERSIDE STATE PARK","Channeled, flowing water","LOCATED IN SPOKANE AT RIVERSIDE STATE PARK ON THE WOODEN, SWINGING, FOOT BRIDGE",,"N","","","WA","","SPOKANE","Lower Spokane","Eastern Regional Office",5,6,"17010307009137",79.862089884,7/19/2012 12:00:00 AM,47.69656,-117.49772,"stream center","+/- 40 ft (12 m)","Paper map interpolation","1:25,000",25,"N",42,"E",4,"NE","SE","",,"","","","","","","","","","AJOH0028, AMS001, AMS001, AMS001-2, AMS001-2, AMS001B, AMS001C, AMS001D, AMS001D, AMS001E, AMS001E, tist0003",1/1/1753 12:00:00 AM,3351740
"48A140","METHOW RIVER AT TWISP","Channeled, flowing water","THIS STATION IS LOCATED ON THE DOWNSTREAM SIDE OF THE HWY 20 BRIDGE IN TWISP. THIS STATION WAS ACTIVATED 881001 IN LIEU OF STATION 48A130. THIS SITE WAS NOT USED PREVIOUSLY DUE TO A WARM OUTFALL FROM THE NOW DEFUNCT PINE MILL APPROXIMATELY 100-150 FEET UPSTREAM.",,"N","","","WA","","Okanogan","Methow","Central Regional Office",4,12,"17020008003966",87.569979349,7/19/2012 12:00:00 AM,48.3593700000006,-120.114580000001,"Unknown","+/- 40 ft (12 m)","Paper map interpolation","1:25,000",,"",,"",,"","","",,"","","","","","","","","","AJOH0029, AMS001, AMS001, AMS001-2, AMS001-2, AMS001D, AMS001D, AMS001E, AMS001E, AMS004, AMS005",1/1/1753 12:00:00 AM,3180740
"53A070","COLUMBIA RIVER AT GRAND COULEE","Channeled, flowing water","LOCATED AT THE COULEE DAM BRIDGE .5 MILES BELOW GRAND COULEE DAM",,"N","","","WA","","DOUGLAS","Grand Coulee","Central Regional Office",4,12,"17020005005139",54.14747,7/19/2012 12:00:00 AM,47.96543,-118.9828,"stream center","+/- 40 ft (12 m)","Paper map interpolation","1:25,000",29,"N",30,"E",36,"SE","SW","",,"","","","","","","","","","AMS001, AMS001, AMS001-2, AMS001-2, AMS001B, AMS001C, AMS001D, AMS001D, AMS001E, AMS001E",1/1/1753 12:00:00 AM,4485021
"36A070","COLUMBIA RIVER NEAR VERNITA","Channeled, flowing water","LOCATED ON STATE HIGHWAY 24 AT THE VERNITA BRIDGE APPROXIMATELY 8 MILES SOUTHEAST OF MATTAWA",,"N","","","WA","","BENTON","Alkali-Squilchuck","Central Regional Office",4,8,"17020016003080",3.48722,7/20/2012 12:00:00 AM,46.6415197561878,-119.731705419162,"stream center","+/- 40 ft (12 m)","Paper map interpolation","1:25,000",13,"N",25,"E",6,"SE","NE","",,"","","","","","","","","","AMS001, AMS001, AMS001-2, AMS001-2, AMS001B, AMS001C, AMS001D, AMS001D, AMS001E, AMS001E",1/1/1753 12:00:00 AM,8175021
"35B060","TUANNON RIVER AT POWERS","Channeled, flowing water","LOCATED .2 MILES SOUTHEAST OF HIGHWAY 261, 1.5 MILES WEST OF STARBUCK",,"N","","","WA","","Columbia","Middle Snake","Eastern Regional Office",5,16,"17060107000005",99.5551097993308,2/22/2012 12:00:00 AM,46.5381991606041,-118.156069764337,"Unknown","+/- 40 ft (12 m)","Paper map interpolation","1:25,000",12,"N",37,"E",11,"NW","SW","",,"","","","","","","","","","AMS001, AMS001, AMS001-2, AMS001-2, AMS001B, AMS001C, AMS001D, AMS001D, AMS001E, AMS001E, AMS004, AMS005",1/1/1753 12:00:00 AM,364640
"49A190","OKANOGAN AT OROVILLE","Channeled, flowing water","LOCATED AT THE BRIDGE ON CHERRY (BRIDGE ST.) STREET ALSO KNOWN AS THE OROVILLE-CHESAW HIGHWAY",,"N","","","WA","","OKANOGAN","Okanogan","Central Regional Office",4,7,"17020006005036",13.41164493,1/27/2014 10:50:47 AM,48.93877,-119.42784,"stream center","+/- 40 ft (12 m)","Paper map interpolation","1:25,000",40,"N",27,"E",27,"NW","SW","",,"","","","","","","","","","AMS001, AMS001, AMS001-2, AMS001-2, AMS001B, AMS001C, AMS001D, AMS001D, AMS001E, AMS001E, AMS004, AMS005",1/1/1753 12:00:00 AM,1021740
